Bolsas,cepa,concentracion,npt,peso,pesog,puni,Experimento
14,FZB42,1.00E+04,11,785.4,0.7854,0.0714,Exp1
14,FZB42,1.00E+04,13,1141,1.141,0.08777,Exp1
14,FZB42,1.00E+04,12,1395.9,1.3959,0.11633,Exp1
14,FZB42,1.00E+04,9,836.2,0.8362,0.09291,Exp1
14,FZB42,1.00E+04,11,1233.9,1.2339,0.11217,Exp1
14,FZB42,1.00E+04,3,224.5,0.2245,0.07483,Exp1
14,FZB42,1.00E+04,8,1476.8,1.4768,0.1846,Exp1
14,FZB42,1.00E+04,11,1247.3,1.2473,0.11339,Exp1
15,FZB42,1.00E+05,5,883.9,0.8839,0.17678,Exp1
15,FZB42,1.00E+05,9,1125.7,1.1257,0.12508,Exp1
15,FZB42,1.00E+05,13,1506.3,1.5063,0.11587,Exp1
15,FZB42,1.00E+05,12,1212.7,1.2127,0.10106,Exp1
15,FZB42,1.00E+05,11,1064.2,1.0642,0.09675,Exp1
15,FZB42,1.00E+05,9,988.3,0.9883,0.10981,Exp1
15,FZB42,1.00E+05,6,667.2,0.6672,0.1112,Exp1
15,FZB42,1.00E+05,8,725.9,0.7259,0.09074,Exp1
16,FZB42,1.00E+06,3,286.5,0.2865,0.0955,Exp1
16,FZB42,1.00E+06,9,857.7,0.8577,0.0953,Exp1
16,FZB42,1.00E+06,8,832.5,0.8325,0.10406,Exp1
16,FZB42,1.00E+06,11,1284.6,1.2846,0.11678,Exp1
16,FZB42,1.00E+06,12,1279.8,1.2798,0.10665,Exp1
16,FZB42,1.00E+06,13,1298.5,1.2985,0.09988,Exp1
16,FZB42,1.00E+06,9,1109.4,1.1094,0.12327,Exp1
16,FZB42,1.00E+06,9,927.9,0.9279,0.1031,Exp1
17,FZB42,1.00E+07,9,1396.4,1.3964,0.15516,Exp1
17,FZB42,1.00E+07,7,765,0.765,0.10929,Exp1
17,FZB42,1.00E+07,8,828.8,0.8288,0.1036,Exp1
17,FZB42,1.00E+07,4,478.9,0.4789,0.11973,Exp1
17,FZB42,1.00E+07,6,617,0.617,0.10283,Exp1
17,FZB42,1.00E+07,11,1299,1.299,0.11809,Exp1
17,FZB42,1.00E+07,8,809.4,0.8094,0.10118,Exp1
17,FZB42,1.00E+07,4,439.5,0.4395,0.10988,Exp1
18,FZB42,1.00E+08,11,896.9,0.8969,0.08154,Exp1
18,FZB42,1.00E+08,8,835.2,0.8352,0.1044,Exp1
18,FZB42,1.00E+08,6,713.5,0.7135,0.11892,Exp1
18,FZB42,1.00E+08,10,887.5,0.8875,0.08875,Exp1
18,FZB42,1.00E+08,14,1410.2,1.4102,0.10073,Exp1
18,FZB42,1.00E+08,6,698.4,0.6984,0.1164,Exp1
18,FZB42,1.00E+08,7,697.5,0.6975,0.09964,Exp1
18,FZB42,1.00E+08,8,768.3,0.7683,0.09604,Exp1
19,MBI600,control,11,1166.7,1.1667,0.10606,Exp1
19,MBI600,control,11,1092.3,1.0923,0.0993,Exp1
19,MBI600,control,6,578.5,0.5785,0.09642,Exp1
19,MBI600,control,7,680.3,0.6803,0.09719,Exp1
19,MBI600,control,3,304.2,0.3042,0.1014,Exp1
19,MBI600,control,10,984.7,0.9847,0.09847,Exp1
19,MBI600,control,8,846,0.846,0.10575,Exp1
19,MBI600,control,6,509,0.509,0.08483,Exp1
20,MBI600,1.00E+04,12,1072.6,1.0726,0.08938,Exp1
20,MBI600,1.00E+04,12,1133.4,1.1334,0.09445,Exp1
20,MBI600,1.00E+04,14,1516.3,1.5163,0.10831,Exp1
20,MBI600,1.00E+04,12,1212.1,1.2121,0.10101,Exp1
20,MBI600,1.00E+04,10,1036.4,1.0364,0.10364,Exp1
20,MBI600,1.00E+04,11,1096.5,1.0965,0.09968,Exp1
20,MBI600,1.00E+04,14,1360.7,1.3607,0.09719,Exp1
20,MBI600,1.00E+04,8,961.3,0.9613,0.12016,Exp1
21,MBI600,1.00E+05,13,1271.5,1.2715,0.09781,Exp1
21,MBI600,1.00E+05,11,1120.3,1.1203,0.10185,Exp1
21,MBI600,1.00E+05,13,1459.4,1.4594,0.11226,Exp1
21,MBI600,1.00E+05,8,838,0.838,0.10475,Exp1
21,MBI600,1.00E+05,15,1537.7,1.5377,0.10251,Exp1
21,MBI600,1.00E+05,6,503.5,0.5035,0.08392,Exp1
21,MBI600,1.00E+05,10,1124.4,1.1244,0.11244,Exp1
21,MBI600,1.00E+05,11,1254.5,1.2545,0.11405,Exp1
22,MBI600,1.00E+06,9,712.8,0.7128,0.0792,Exp1
22,MBI600,1.00E+06,10,984.5,0.9845,0.09845,Exp1
22,MBI600,1.00E+06,12,1151.9,1.1519,0.09599,Exp1
22,MBI600,1.00E+06,6,661.5,0.6615,0.11025,Exp1
22,MBI600,1.00E+06,1,190.6,0.1906,0.1906,Exp1
22,MBI600,1.00E+06,9,429.2,0.4292,0.04769,Exp1
22,MBI600,1.00E+06,13,1430.7,1.4307,0.11005,Exp1
22,MBI600,1.00E+06,5,400.1,0.4001,0.08002,Exp1
23,MBI600,1.00E+07,3,313.6,0.3136,0.10453,Exp1
23,MBI600,1.00E+07,12,1159.3,1.1593,0.09661,Exp1
23,MBI600,1.00E+07,10,1042.9,1.0429,0.10429,Exp1
23,MBI600,1.00E+07,7,639.6,0.6396,0.09137,Exp1
23,MBI600,1.00E+07,5,522.4,0.5224,0.10448,Exp1
23,MBI600,1.00E+07,13,1043.9,1.0439,0.0803,Exp1
23,MBI600,1.00E+07,8,828.2,0.8282,0.10353,Exp1
23,MBI600,1.00E+07,11,1118.4,1.1184,0.10167,Exp1
24,MBI600,1.00E+08,3,308.2,0.3082,0.10273,Exp1
24,MBI600,1.00E+08,13,1268.7,1.2687,0.09759,Exp1
24,MBI600,1.00E+08,3,179.5,0.1795,0.05983,Exp1
24,MBI600,1.00E+08,13,1451.1,1.4511,0.11162,Exp1
24,MBI600,1.00E+08,12,1239.6,1.2396,0.1033,Exp1
24,MBI600,1.00E+08,13,1317.3,1.3173,0.10133,Exp1
24,MBI600,1.00E+08,13,1425.7,1.4257,0.10967,Exp1
24,MBI600,1.00E+08,11,1116.4,1.1164,0.10149,Exp1
1,UA321,control,8,890.7,0.8907,0.1113,Exp2
1,UA321,control,10,1358.2,1.3582,0.1358,Exp2
1,UA321,control,6,581.7,0.5817,0.097,Exp2
1,UA321,control,3,444.6,0.4446,0.1482,Exp2
1,UA321,control,7,725.7,0.7257,0.1037,Exp2
1,UA321,control,12,1238,1.238,0.1032,Exp2
1,UA321,control,6,806,0.806,0.1343,Exp2
1,UA321,control,6,698.1,0.6981,0.1164,Exp2
2,UA321,1.00E+04,11,1261.2,1.2612,0.1147,Exp2
2,UA321,1.00E+04,15,1572.2,1.5722,0.1048,Exp2
2,UA321,1.00E+04,11,1304.1,1.3041,0.1186,Exp2
2,UA321,1.00E+04,4,547.3,0.5473,0.1368,Exp2
2,UA321,1.00E+04,4,590.9,0.5909,0.1477,Exp2
2,UA321,1.00E+04,10,909.4,0.9094,0.0909,Exp2
2,UA321,1.00E+04,4,445.6,0.4456,0.1114,Exp2
2,UA321,1.00E+04,16,1775.4,1.7754,0.111,Exp2
3,UA321,1.00E+05,9,982.9,0.9829,0.1092,Exp2
3,UA321,1.00E+05,10,1163.4,1.1634,0.1163,Exp2
3,UA321,1.00E+05,12,1312,1.312,0.1093,Exp2
3,UA321,1.00E+05,10,1156,1.156,0.1156,Exp2
3,UA321,1.00E+05,12,1236.9,1.2369,0.1031,Exp2
3,UA321,1.00E+05,8,961.3,0.9613,0.1202,Exp2
3,UA321,1.00E+05,6,628.1,0.6281,0.1047,Exp2
3,UA321,1.00E+05,8,902.4,0.9024,0.1128,Exp2
4,UA321,1.00E+06,16,1449.8,1.4498,0.0906,Exp2
4,UA321,1.00E+06,8,846.6,0.8466,0.1058,Exp2
4,UA321,1.00E+06,9,927,0.927,0.103,Exp2
4,UA321,1.00E+06,14,1376.8,1.3768,0.0983,Exp2
4,UA321,1.00E+06,13,1611.1,1.6111,0.1239,Exp2
4,UA321,1.00E+06,6,589.7,0.5897,0.0983,Exp2
4,UA321,1.00E+06,7,850.7,0.8507,0.1215,Exp2
4,UA321,1.00E+06,4,538,0.538,0.1345,Exp2
5,UA321,1.00E+07,15,1318.5,1.3185,0.0879,Exp2
5,UA321,1.00E+07,10,1018.1,1.0181,0.1018,Exp2
5,UA321,1.00E+07,5,623.3,0.6233,0.1247,Exp2
5,UA321,1.00E+07,13,1446.8,1.4468,0.1113,Exp2
5,UA321,1.00E+07,13,1640.4,1.6404,0.1262,Exp2
5,UA321,1.00E+07,11,1313.7,1.3137,0.1194,Exp2
5,UA321,1.00E+07,11,1106.1,1.1061,0.1006,Exp2
5,UA321,1.00E+07,11,1303.6,1.3036,0.1185,Exp2
6,UA321,1.00E+08,11,1249.4,1.2494,0.1136,Exp2
6,UA321,1.00E+08,10,1209.9,1.2099,0.121,Exp2
6,UA321,1.00E+08,10,1151.6,1.1516,0.1152,Exp2
6,UA321,1.00E+08,10,1108.4,1.1084,0.1108,Exp2
6,UA321,1.00E+08,1,66.7,0.0667,0.0667,Exp2
6,UA321,1.00E+08,3,310.8,0.3108,0.1036,Exp2
6,UA321,1.00E+08,8,806,0.806,0.1008,Exp2
6,UA321,1.00E+08,14,626.2,0.6262,0.0447,Exp2
7,EA575,control,9,812.9,0.8129,0.0903,Exp2
7,EA575,control,6,523.3,0.5233,0.0872,Exp2
7,EA575,control,1,97.4,0.0974,0.0974,Exp2
7,EA575,control,6,515.1,0.5151,0.0859,Exp2
7,EA575,control,6,575.4,0.5754,0.0959,Exp2
7,EA575,control,4,399.6,0.3996,0.0999,Exp2
7,EA575,control,5,199.5,0.1995,0.0399,Exp2
7,EA575,control,4,381.5,0.3815,0.0954,Exp2
8,EA575,1.00E+04,11,1151.5,1.1515,0.1047,Exp2
8,EA575,1.00E+04,9,889.2,0.8892,0.0988,Exp2
8,EA575,1.00E+04,14,1603,1.603,0.1145,Exp2
8,EA575,1.00E+04,14,1488.4,1.4884,0.1063,Exp2
8,EA575,1.00E+04,13,1390.3,1.3903,0.1069,Exp2
8,EA575,1.00E+04,5,554.6,0.5546,0.1109,Exp2
8,EA575,1.00E+04,10,1042.1,1.0421,0.1042,Exp2
8,EA575,1.00E+04,5,660.4,0.6604,0.1321,Exp2
9,EA575,1.00E+05,6,581.1,0.5811,0.0969,Exp2
9,EA575,1.00E+05,12,1222.4,1.2224,0.1019,Exp2
9,EA575,1.00E+05,9,1092.2,1.0922,0.1214,Exp2
9,EA575,1.00E+05,13,1222,1.222,0.094,Exp2
9,EA575,1.00E+05,7,556,0.556,0.0794,Exp2
9,EA575,1.00E+05,11,1255.4,1.2554,0.1141,Exp2
9,EA575,1.00E+05,13,1210.4,1.2104,0.0931,Exp2
9,EA575,1.00E+05,7,527.9,0.5279,0.0754,Exp2
10,EA575,1.00E+06,18,1635.6,1.6356,0.0909,Exp2
10,EA575,1.00E+06,4,402.5,0.4025,0.1006,Exp2
10,EA575,1.00E+06,13,1456.6,1.4566,0.112,Exp2
10,EA575,1.00E+06,9,975.4,0.9754,0.1084,Exp2
10,EA575,1.00E+06,14,1625.2,1.6252,0.1161,Exp2
10,EA575,1.00E+06,4,405,0.405,0.1013,Exp2
10,EA575,1.00E+06,15,1510.9,1.5109,0.1007,Exp2
10,EA575,1.00E+06,8,883.9,0.8839,0.1105,Exp2
11,EA575,1.00E+07,14,1431.2,1.4312,0.1022,Exp2
11,EA575,1.00E+07,8,911.7,0.9117,0.114,Exp2
11,EA575,1.00E+07,11,1272.8,1.2728,0.1157,Exp2
11,EA575,1.00E+07,8,827.6,0.8276,0.1035,Exp2
11,EA575,1.00E+07,10,1120.5,1.1205,0.1121,Exp2
11,EA575,1.00E+07,10,997.8,0.9978,0.0998,Exp2
11,EA575,1.00E+07,11,1086.4,1.0864,0.0988,Exp2
11,EA575,1.00E+07,13,1269.9,1.2699,0.0977,Exp2
12,EA575,1.00E+08,12,1246.5,1.2465,0.1039,Exp2
12,EA575,1.00E+08,8,948.1,0.9481,0.1185,Exp2
12,EA575,1.00E+08,6,607.7,0.6077,0.1013,Exp2
12,EA575,1.00E+08,11,1174.9,1.1749,0.1068,Exp2
12,EA575,1.00E+08,12,1346.7,1.3467,0.1122,Exp2
12,EA575,1.00E+08,7,140,0.14,0.02,Exp2
12,EA575,1.00E+08,11,1076.2,1.0762,0.0978,Exp2
12,EA575,1.00E+08,13,1661.7,1.6617,0.1278,Exp2
13,FZB42,control,6,506.9,0.5069,0.0845,Exp2
13,FZB42,control,9,985.4,0.9854,0.1095,Exp2
13,FZB42,control,11,1261.8,1.2618,0.1147,Exp2
13,FZB42,control,8,669.8,0.6698,0.0837,Exp2
13,FZB42,control,11,1119.3,1.1193,0.1018,Exp2
13,FZB42,control,10,1045.8,1.0458,0.1046,Exp2
13,FZB42,control,5,496.7,0.4967,0.0993,Exp2
13,FZB42,control,7,590.5,0.5905,0.0844,Exp2
14,FZB42,1.00E+04,6,1509.1,1.5091,0.2515,Exp2
14,FZB42,1.00E+04,13,1606.7,1.6067,0.1236,Exp2
14,FZB42,1.00E+04,16,1677.1,1.6771,0.1048,Exp2
14,FZB42,1.00E+04,4,415.5,0.4155,0.1039,Exp2
14,FZB42,1.00E+04,10,1278.2,1.2782,0.1278,Exp2
14,FZB42,1.00E+04,9,860.9,0.8609,0.0957,Exp2
14,FZB42,1.00E+04,10,1172.3,1.1723,0.1172,Exp2
14,FZB42,1.00E+04,14,1519.7,1.5197,0.1086,Exp2
15,FZB42,1.00E+05,12,1236.2,1.2362,0.103,Exp2
15,FZB42,1.00E+05,9,865.9,0.8659,0.0962,Exp2
15,FZB42,1.00E+05,10,981.1,0.9811,0.0981,Exp2
15,FZB42,1.00E+05,14,1571.5,1.5715,0.1123,Exp2
15,FZB42,1.00E+05,9,1109.9,1.1099,0.1233,Exp2
15,FZB42,1.00E+05,14,1433.2,1.4332,0.1024,Exp2
15,FZB42,1.00E+05,13,1471.6,1.4716,0.1132,Exp2
15,FZB42,1.00E+05,13,1222.7,1.2227,0.0941,Exp2
16,FZB42,1.00E+06,12,1156.7,1.1567,0.0964,Exp2
16,FZB42,1.00E+06,14,1633.8,1.6338,0.1167,Exp2
16,FZB42,1.00E+06,7,857.6,0.8576,0.1225,Exp2
16,FZB42,1.00E+06,9,988.5,0.9885,0.1098,Exp2
16,FZB42,1.00E+06,11,1002.2,1.0022,0.0911,Exp2
16,FZB42,1.00E+06,8,936.1,0.9361,0.117,Exp2
16,FZB42,1.00E+06,7,725.5,0.7255,0.1036,Exp2
16,FZB42,1.00E+06,6,660.3,0.6603,0.1101,Exp2
17,FZB42,1.00E+07,11,1087.3,1.0873,0.0988,Exp2
17,FZB42,1.00E+07,5,455.5,0.4555,0.0911,Exp2
17,FZB42,1.00E+07,10,740.6,0.7406,0.0741,Exp2
17,FZB42,1.00E+07,7,762,0.762,0.1089,Exp2
17,FZB42,1.00E+07,5,477.8,0.4778,0.0956,Exp2
17,FZB42,1.00E+07,9,886.8,0.8868,0.0985,Exp2
17,FZB42,1.00E+07,13,1383.2,1.3832,0.1064,Exp2
17,FZB42,1.00E+07,9,913.7,0.9137,0.1015,Exp2
18,FZB42,1.00E+08,10,1055.9,1.0559,0.1056,Exp2
18,FZB42,1.00E+08,13,1401.5,1.4015,0.1078,Exp2
18,FZB42,1.00E+08,12,1465.6,1.4656,0.1221,Exp2
18,FZB42,1.00E+08,7,674.1,0.6741,0.0963,Exp2
18,FZB42,1.00E+08,11,1276.4,1.2764,0.116,Exp2
18,FZB42,1.00E+08,10,1021,1.021,0.1021,Exp2
18,FZB42,1.00E+08,11,1001.9,1.0019,0.0911,Exp2
18,FZB42,1.00E+08,12,1600.3,1.6003,0.1334,Exp2
19,MBI600,control,9,845.8,0.8458,0.094,Exp2
19,MBI600,control,11,1089,1.089,0.099,Exp2
19,MBI600,control,8,861.4,0.8614,0.1077,Exp2
19,MBI600,control,6,728.4,0.7284,0.1214,Exp2
19,MBI600,control,5,452.3,0.4523,0.0905,Exp2
19,MBI600,control,12,1272.8,1.2728,0.1061,Exp2
19,MBI600,control,10,1175.2,1.1752,0.1175,Exp2
19,MBI600,control,6,615.9,0.6159,0.1027,Exp2
20,MBI600,1.00E+04,14,1440,1.44,0.1029,Exp2
20,MBI600,1.00E+04,4,587.8,0.5878,0.147,Exp2
20,MBI600,1.00E+04,14,1693.8,1.6938,0.121,Exp2
20,MBI600,1.00E+04,7,954,0.954,0.1363,Exp2
20,MBI600,1.00E+04,7,668.3,0.6683,0.0955,Exp2
20,MBI600,1.00E+04,3,461.5,0.4615,0.1538,Exp2
20,MBI600,1.00E+04,9,639.1,0.6391,0.071,Exp2
20,MBI600,1.00E+04,9,904.3,0.9043,0.1005,Exp2
21,MBI600,1.00E+05,5,549.1,0.5491,0.1098,Exp2
21,MBI600,1.00E+05,10,1016.4,1.0164,0.1016,Exp2
21,MBI600,1.00E+05,13,1530,1.53,0.1177,Exp2
21,MBI600,1.00E+05,12,1246.5,1.2465,0.1039,Exp2
21,MBI600,1.00E+05,16,1795.8,1.7958,0.1122,Exp2
21,MBI600,1.00E+05,7,1543.3,1.5433,0.2205,Exp2
21,MBI600,1.00E+05,13,1414.8,1.4148,0.1088,Exp2
21,MBI600,1.00E+05,4,371.6,0.3716,0.0929,Exp2
22,MBI600,1.00E+06,17,1872.8,1.8728,0.1102,Exp2
22,MBI600,1.00E+06,9,933.2,0.9332,0.1037,Exp2
22,MBI600,1.00E+06,12,1196.9,1.1969,0.0997,Exp2
22,MBI600,1.00E+06,11,1311.1,1.3111,0.1192,Exp2
22,MBI600,1.00E+06,6,697,0.697,0.1162,Exp2
22,MBI600,1.00E+06,13,1754.9,1.7549,0.135,Exp2
22,MBI600,1.00E+06,13,1410.1,1.4101,0.1085,Exp2
22,MBI600,1.00E+06,9,1004.1,1.0041,0.1116,Exp2
23,MBI600,1.00E+07,1,72,0.072,0.072,Exp2
23,MBI600,1.00E+07,10,1091.3,1.0913,0.1091,Exp2
23,MBI600,1.00E+07,7,740.2,0.7402,0.1057,Exp2
23,MBI600,1.00E+07,12,1295.1,1.2951,0.1079,Exp2
23,MBI600,1.00E+07,5,523.5,0.5235,0.1047,Exp2
23,MBI600,1.00E+07,8,717.7,0.7177,0.0897,Exp2
23,MBI600,1.00E+07,10,1148.1,1.1481,0.1148,Exp2
23,MBI600,1.00E+07,8,953.6,0.9536,0.1192,Exp2
24,MBI600,1.00E+08,6,625.8,0.6258,0.1043,Exp2
24,MBI600,1.00E+08,13,1411.3,1.4113,0.1086,Exp2
24,MBI600,1.00E+08,7,877.1,0.8771,0.1253,Exp2
24,MBI600,1.00E+08,12,1428.5,1.4285,0.119,Exp2
24,MBI600,1.00E+08,6,668.4,0.6684,0.1114,Exp2
24,MBI600,1.00E+08,5,544.8,0.5448,0.109,Exp2
24,MBI600,1.00E+08,9,1129.1,1.1291,0.1255,Exp2
24,MBI600,1.00E+08,14,1588.4,1.5884,0.1135,Exp2
