id,tratamiento,cepa,concentracion,longitudP,superficieP,volumenP,diametroP,nlaterales,densidad,interbranch_distance,longitudL,longitudTotal,diametroL,Exp
39,5,UA321,1.00E+07,24.939209,15.919718,0.93939984,0.17666559,40,2.2224593,0.7454941,87.10144347,112.0406525,0.054942529,Exp1
40,5,UA321,1.00E+07,22.142813,11.959586,0.68359745,0.14781556,32,1.9583374,1.6554469,97.74387898,119.886692,0.043858926,Exp1
41,6,UA321,1.00E+08,27.771637,14.789435,0.79024994,0.1496744,56,2.3305697,1.0536189,189.0678398,216.8394768,0.046109469,Exp1
42,6,UA321,1.00E+08,23.901207,14.226509,0.8278505,0.16949767,52,2.8339505,1.4594035,159.1211552,183.0223622,0.045813623,Exp1
43,6,UA321,1.00E+08,23.776426,12.761189,0.69334567,0.1508894,59,2.8852232,0.47132942,179.7637,203.540126,0.038982339,Exp1
44,6,UA321,1.00E+08,31.361103,18.504105,0.95341325,0.17242797,48,1.5754142,1.2002323,154.684303,186.045406,0.043691089,Exp1
45,6,UA321,1.00E+08,32.296318,12.559387,0.48357674,0.116775036,58,2.3020353,0.63889337,172.6357145,204.9320325,0.043629272,Exp1
46,6,UA321,1.00E+08,25.733418,14.421069,0.71560603,0.1677957,57,3.4054635,1.6365528,175.3315204,201.0649384,0.049680751,Exp1
47,6,UA321,1.00E+08,20.213648,11.389578,0.6830039,0.15021604,35,3.23221,0.4999804,168.3072786,188.5209266,0.043995863,Exp1
48,6,UA321,1.00E+08,28.897104,15.987211,0.79704773,0.15808003,33,1.246129,2.9383748,91.02011124,119.9172152,0.050076672,Exp1
49,7,EA575,control,12.384367,3.6667314,0.095497414,0.089371905,25,2.79525,1.2405521,38.78409729,51.16846429,0.032707681,Exp1
50,7,EA575,control,25.882284,16.457975,0.9729116,0.1820704,37,1.7313906,3.5789127,156.3835209,182.2658049,0.049593914,Exp1
51,7,EA575,control,17.451283,11.62755,0.6751234,0.20481157,46,3.3036618,0.8558712,154.2914808,171.7427638,0.048914812,Exp1
52,7,EA575,control,31.084482,18.882902,1.0213889,0.17533502,24,1.164336,1.0790132,65.46695521,96.55143721,0.059340202,Exp1
